赛事名称,官方来源,报名来源,核验时间,核验结论,缺失字段
第八届全球校园人工智能算法精英大赛——室内农业·满载而归对抗赛,https://www.aicomp.cn/notice/notice-3/4784.html,https://reg.aicomp.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第十四届全国高校商业精英挑战赛创新创业竞赛——流通业经营模拟赛道,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第十四届全国高校商业精英挑战赛创新创业竞赛——营销模拟决策赛道,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第十四届全国高校商业精英挑战赛创新创业竞赛——创业研究专题赛道,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第十四届全国高校商业精英挑战赛创新创业竞赛——数据智能体应用赛道,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年“经开杯”全国大学生创新创业大赛——智能创新赛道,https://www.cxcyds.org.cn/401.html,https://www.edu.newunivs.com/event/63,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年“经开杯”全国大学生创新创业大赛——青年创业赛道,https://www.cxcyds.org.cn/401.html,https://www.edu.newunivs.com/event/63,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年“经开杯”全国大学生双创能力挑战赛,https://www.cxcyds.org.cn/30.html,https://www.chuangsaiyun.com/#/diy?id=2,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年“经开杯”全国大学生双创英语词汇大赛,https://www.cxcyds.org.cn/36.html,https://www.chuangsaiyun.com/#/diy?id=64,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年全国大学生数智链应用大赛,https://ccad.usst.edu.cn/2026/0617/c6911a367167/page.htm,https://www.dabc.org.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学国际传播综合能力赛项,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学英语短视频赛项,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学“四新”专项,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学多语种组,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
第十九届全国大学生信息安全竞赛（作品赛）暨第三届“长城杯”网数智安全大赛（作品赛）,https://www.ciscn.cn/announcement/view/412,https://www.ciscn.cn/competition/securityCompetition?compet_id=45,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,本批次报名入口已关闭；下一阶段对中大用户仍可采取的报名或观赛动作
第十九届全国大学生信息安全竞赛（挑战赛）暨第三届“长城杯”网数智安全大赛（挑战赛）,https://www.ciscn.cn/announcement/view/412,https://www.ciscn.cn/competition/securityCompetition?compet_id=46,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,当前报名入口已关闭；是否仍有后续开放动作或旁观入口
2026“黄鹤杯”网络安全人才创新大赛学生组,https://hhb.whcsa.org.cn/,https://ctf.chuzelab.com/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,当前报名已截止；奖项和决赛详细时间未在主页面完整呈现
2026第二届大学生人工智能安全竞赛,https://ai-contest.sjtu.edu.cn/,https://ai-contest.sjtu.edu.cn/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,当前报名已截止；对抗赛当前入口、队伍人数和下一阶段时间需再次核对
2026第八届全国大学生工业设计大赛,https://www.cuidc.net/,https://www.cuidc.net/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,本届报名入口已关闭；用户可直接参与的下一阶段动作和完整作品提交入口
第十四届未来设计师·全国高校数字艺术设计大赛（2026）,https://ncda.org.cn/,https://ncda.org.cn/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,本届统一报名入口；参赛资格和队伍人数；赛道级奖励和作品提交字段
中国国际大学生创新大赛（2026）,https://cse.sysu.edu.cn/article/3534,https://cse.sysu.edu.cn/article/3534,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,全国组委会本届统一报名入口；中山大学校内选拔后可直接执行的下一阶段时间；赛道级队伍人数和奖励
2026中国高校智能机器人创意大赛,https://www.robotcontest.cn/,https://www.robotcontest.cn/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,当前赛项报名截止时间；有效报名入口；赛项队伍人数、模式和奖励
2026全国大学生电子设计竞赛,https://nuedc.xjtu.edu.cn/,https://nuedc.xjtu.edu.cn/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,中山大学可执行报名入口；当前批次报名状态；赛项队伍人数、提交时间和决赛地点
2026中国机器人及人工智能大赛广东赛区,https://www.caairobot.com/post/notification-guangdong-craic2026/,https://www.caairobot.com/,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,本届当前报名入口；赛项级截止时间和队伍限制；奖励和广东赛区下一阶段安排
2026年第十四届全国高校商业精英挑战赛创新创业竞赛——创业计划赛道,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,学生当前报名已截止；下一阶段是否仍接受补录或仅可参加后续赛程的确认
2026中国高校计算机大赛——移动应用创新赛,https://www.appcontest.net/home/homepage,https://www.appcontest.net/home/homepage,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,当前报名入口已关闭；下一阶段的有效操作、提交时间和奖励字段
2026“经开杯”全国大学生数字艺术设计大赛,https://www.cxcyds.org.cn/34.html,https://www.cxcyds.org.cn/34.html,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,本届作品提交已结束；下一阶段可报名入口和可执行时间；完整赛道级队伍限制
2026年第五届大学生区块链技术与创新应用竞赛（中国计算机学会主办）,https://btc.ccf.org.cn/competitioncharter,https://btc.ccf.org.cn/competition/joinCompetition?teamType=compet&compet_id=43,2026-08-11T20:04:54+08:00,待核验：不进入服务器导入快照,官方赛制说明中的报名截止年份显示为2025年，和2026届赛事存在笔误/不一致；需从报名系统确认本届实际报名截止时间后再导入
