external_key,赛事名称,推荐等级,参赛形态,报名方式,正式组队,优先级,官方来源,行动入口,费用说明,核验时间,验收结论
aic_indoor_agriculture_harvest_2026,第八届全球校园人工智能算法精英大赛——室内农业·满载而归对抗赛,A,individual_or_team,direct,是,90,https://www.aicomp.cn/notice/notice-3/4784.html,https://reg.aicomp.cn/,参赛队伍按官方通知缴纳500元/队。,2026-08-11T20:27:06+08:00,官方主题赛通知含选拔和山东线下总决赛信息。
cubec_circulation_simulation_2026,2026年第十四届全国高校商业精英挑战赛创新创业竞赛——流通业经营模拟赛道,A,team,school_coordinated,是,93,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,收费及知识赛安排以中山大学组织通知和赛事平台为准。,2026-08-11T20:27:06+08:00,中国贸促会商业行业委员会官方通知；学生不能绕过院校负责人直报。
cubec_marketing_decision_2026,2026年第十四届全国高校商业精英挑战赛创新创业竞赛——营销模拟决策赛道,A,team,school_coordinated,是,92,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,收费及知识赛安排以中山大学组织通知和赛事平台为准。,2026-08-11T20:27:06+08:00,中国贸促会商业行业委员会官方通知；学生不能绕过院校负责人直报。
cubec_entrepreneurship_research_2026,2026年第十四届全国高校商业精英挑战赛创新创业竞赛——创业研究专题赛道,A,team,school_coordinated,是,91,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,收费及知识赛安排以中山大学组织通知和赛事平台为准。,2026-08-11T20:27:06+08:00,中国贸促会商业行业委员会官方通知；学生不能绕过院校负责人直报。
cubec_data_agent_2026,2026年第十四届全国高校商业精英挑战赛创新创业竞赛——数据智能体应用赛道,A,team,school_coordinated,是,94,https://www.ccpitcsc.org/eduxq/4857,https://ssyth.cubec.org.cn/single?id=2,收费及知识赛安排以中山大学组织通知和赛事平台为准。,2026-08-11T20:27:06+08:00,中国贸促会商业行业委员会官方通知；学生不能绕过院校负责人直报。
jingkaibei_smart_innovation_2026,2026年“经开杯”全国大学生创新创业大赛——智能创新赛道,C,individual_or_team,direct,是,55,https://www.cxcyds.org.cn/401.html,https://www.edu.newunivs.com/event/63,智能创新、青年创业赛道免费。,2026-08-11T20:27:06+08:00,信息可核验但主办方为商业机构；作为补充赛事展示，降低推荐权重。
jingkaibei_youth_entrepreneurship_2026,2026年“经开杯”全国大学生创新创业大赛——青年创业赛道,C,individual_or_team,direct,是,55,https://www.cxcyds.org.cn/401.html,https://www.edu.newunivs.com/event/63,智能创新、青年创业赛道免费。,2026-08-11T20:27:06+08:00,信息可核验但主办方为商业机构；作为补充赛事展示，降低推荐权重。
jingkaibei_innovation_entrepreneurship_ability_2026,2026年“经开杯”全国大学生双创能力挑战赛,C,individual,direct,否（备赛搭子）,20,https://www.cxcyds.org.cn/30.html,https://www.chuangsaiyun.com/#/diy?id=2,测试赛免费；正式赛50元/项；与英语词汇赛联报80元；纸质证书另付费。,2026-08-11T20:27:06+08:00,商业主办、付费、按固定分数段发证；仅作补充信息，不进入正式组队列表。
jingkaibei_english_vocabulary_2026,2026年“经开杯”全国大学生双创英语词汇大赛,C,individual,direct,否（备赛搭子）,18,https://www.cxcyds.org.cn/36.html,https://www.chuangsaiyun.com/#/diy?id=64,正式赛50元/项；与双创能力赛联报80元；纸质证书另付费。,2026-08-11T20:27:06+08:00,商业主办、付费、按固定分数段发证；仅作补充信息，不进入正式组队列表。
shuzhilian_application_2026,2026年全国大学生数智链应用大赛,B,individual_or_team,direct,是,80,https://ccad.usst.edu.cn/2026/0617/c6911a367167/page.htm,https://www.dabc.org.cn/,官方学校通知明确不收报名费、参赛费。,2026-08-11T20:27:06+08:00,学校官方转载通知和赛事官网相互印证；赛事为第3届，列B档持续观察。
waiyanshe_international_communication_sysu_2026,2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学国际传播综合能力赛项,A,individual,school_notice,否（备赛搭子）,85,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,中山大学校选赛通知未说明收费。,2026-08-11T20:27:06+08:00,修正报名截止：官网报名为9月13日，9月20日是初赛/视频提交日。
waiyanshe_short_video_sysu_2026,2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学英语短视频赛项,A,individual_or_team,school_notice,是,88,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,中山大学校选赛通知未说明收费。,2026-08-11T20:27:06+08:00,中山大学官方通知；团队规模、校内提交和官网报名动作明确。
waiyanshe_four_new_sysu_2026,2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学“四新”专项,A,individual_or_team,school_notice,是,86,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,中山大学校选赛通知未说明收费。,2026-08-11T20:27:06+08:00,中山大学通知与大赛官网规则相互印证，适合跨专业同校组队。
waiyanshe_multilingual_sysu_2026,2026“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛——中山大学多语种组,A,individual,school_notice,否（备赛搭子）,80,https://fls.sysu.edu.cn/article/4445,https://ucc.fltrp.com/,中山大学校选赛通知未说明收费。,2026-08-11T20:27:06+08:00,中山大学官方通知；个人赛仅开放备赛搭子，不作为正式组队。
